Unnamed: 0,path,sentence
25741,wavs_rir_added/common_voice_th_27145021_room_dis1.wav,ถ้ามีเยอะ
18975,wavs_rir_added/common_voice_th_26288049_room_dis1.wav,ขุนแผนตีดาบฟ้าฟื้น เป็นดาบวิเศษ
35275,wavs_rir_added/record_smarthome_7000038_371_room_dis1.wav,ปิดตู้ด้านหน้าประตู
40063,wavs_rir_added/record_healthcare_7000053_2388_room_dis1.wav,ปวดแผลที่ผ่าตัด
15016,wavs_rir_added/common_voice_th_26058057_room_dis1.wav,จับปูใส่กระด้ง
7798,wavs_rir_added/common_voice_th_28334915_room_dis1.wav,ค่าเฉลี่ยอยู่ที่ สิบห้า องศาเซลเซียส
19726,wavs_rir_added/common_voice_th_26623463_room_dis1.wav,กลิ้งเป็นลูกมะนาว
43136,wavs_rir_added/record_smarthome_7000044_1028_room_dis1.wav,สั่งอาหารฝรั่ง
26161,wavs_rir_added/common_voice_th_27269690_room_dis1.wav,มีความสัมพันธ์ที่สอดคล้องกับชีวิตมากขึ้น
33359,wavs_rir_added/record_healthcare_7000028_1565_room_dis1.wav,รู้สึกตาอักเสบ
7258,wavs_rir_added/common_voice_th_26151579_room_dis1.wav,ได้ทีขี่แพะไล่
38323,wavs_rir_added/record_smarthome_7000016_1226_room_dis1.wav,เปลี่ยนสีไฟให้เป็นสีเขียวที
35077,wavs_rir_added/record_smarthome_7000038_2295_room_dis1.wav,เปิดไฟทางเดินให้หน่อย
36602,wavs_rir_added/record_smarthome_7000050_1501_room_dis1.wav,เปิดประตูทางขวา
45102,wavs_rir_added/record_smarthome_7000036_1349_room_dis1.wav,เปิดถังขยะในที่จอดรถ
42224,wavs_rir_added/record_healthcare_7000041_1083_room_dis1.wav,ผื่นขึ้นเต็มตัวเลย
35839,wavs_rir_added/record_healthcare_7000050_1241_room_dis1.wav,เหมือนมดเข้าไปในหัวตอนนี้ปวดหูมากมาก
6128,wavs_rir_added/common_voice_th_32083260_room_dis1.wav,อีกคนละ
39503,wavs_rir_added/record_healthcare_7000025_2118_room_dis1.wav,แผลรถล้มหัวเข่าถลอกแผลเปิดจนเห็นกระดูก
23960,wavs_rir_added/common_voice_th_26291765_room_dis1.wav,เติมซุปด้วยค่ะ
2843,wavs_rir_added/common_voice_th_27060722_room_dis1.wav,มีรุ่นไหนน่าใช้
12294,wavs_rir_added/common_voice_th_26293275_room_dis1.wav,โต๊ะเขียนหนังสือ
33454,wavs_rir_added/record_smarthome_7000038_268_room_dis1.wav,ปรับอุณหภูมิตู้เย็นเป็นลบหนึ่งองศาเซลเซียส
30181,wavs_rir_added/common_voice_th_27649312_room_dis1.wav,ที่น่าทำงานด้วย
30342,wavs_rir_added/common_voice_th_27665092_room_dis1.wav,ฮ่า 
29807,wavs_rir_added/common_voice_th_27647550_room_dis1.wav,รับไปแล้ว
25159,wavs_rir_added/common_voice_th_26583573_room_dis1.wav,ซิโปรฟลอกซาซิน
1130,wavs_rir_added/common_voice_th_25906311_room_dis1.wav,จูจิซูเป็นศิลปะป้องกันตัว
27751,wavs_rir_added/common_voice_th_27434170_room_dis1.wav,ยังจะมีปัญหาความล่าช้า
44684,wavs_rir_added/record_smarthome_7000033_1263_room_dis1.wav,เปิดกระจกโรงจอดรถ
3943,wavs_rir_added/common_voice_th_25631977_room_dis1.wav,เคทลีนหยิบมือถือออกมาจากกระเป๋า
29971,wavs_rir_added/common_voice_th_27648210_room_dis1.wav,วารสารเสนาธิปัตย์
34234,wavs_rir_added/record_smarthome_7000021_2032_room_dis1.wav,เปิดเพลงบรรเลงให้หน่อยนะ
24644,wavs_rir_added/common_voice_th_26384728_room_dis1.wav,แมคโครไบโอติก
22047,wavs_rir_added/common_voice_th_29824830_room_dis1.wav,ดูชื่อได้จากป้ายบนกล่อง
2205,wavs_rir_added/common_voice_th_31940765_room_dis1.wav,ก้มตัว
41019,wavs_rir_added/record_healthcare_7000026_2345_room_dis1.wav,ถ่ายอุจจาระไม่ออกรู้สึกเหมือนถ่ายออกไม่หมด
24476,wavs_rir_added/common_voice_th_26354813_room_dis1.wav,ถนิมพิมพาภรณ์
14787,wavs_rir_added/common_voice_th_25916855_room_dis1.wav,ด้วยความมั่นคง
21120,wavs_rir_added/common_voice_th_28728642_room_dis1.wav,กับพวกคำซ้อนแล้วซ้อนอีก
25524,wavs_rir_added/common_voice_th_27073443_room_dis1.wav,บิด
40077,wavs_rir_added/record_healthcare_7000026_1058_room_dis1.wav,ป้าปวดหูร้าวมาที่ขากรรไกรนะคะ
11653,wavs_rir_added/common_voice_th_25924611_room_dis1.wav,มาก่อน เสิร์ฟก่อน
16821,wavs_rir_added/common_voice_th_26069635_room_dis1.wav,เอสซีจี แพคเกจจิ้ง
27560,wavs_rir_added/common_voice_th_27432501_room_dis1.wav,แล้ววางเรียงกันให้สามารถมองเห็นทุก
40948,wavs_rir_added/record_smarthome_7000044_1276_room_dis1.wav,เปิดกล้องวงจรปิดห้องอาหาร
43261,wavs_rir_added/record_smarthome_7000041_726_room_dis1.wav,ปิดแอร์ในอีกหนึ่งชั่วโมง
16428,wavs_rir_added/common_voice_th_26533176_room_dis1.wav,สีเสียดเปลือก
24450,wavs_rir_added/common_voice_th_26342556_room_dis1.wav,เรื่องไม่เป็นเรื่อง
37195,wavs_rir_added/record_healthcare_7000036_1030_room_dis1.wav,ปวดหูแบบหูอื้อมีอะไรอัดอยู่เต็มหูแต่พอแคะดูก็ไม่มีอะไร
16344,wavs_rir_added/common_voice_th_26489270_room_dis1.wav,พลายแก้วเป็นศิษย์สมภารบุญ วัดส้มใหญ่
45073,wavs_rir_added/record_healthcare_7000029_1686_room_dis1.wav,กล้ามเนื้อขาอ่อนแรง
46153,wavs_rir_added/record_smarthome_7000041_115_room_dis1.wav,ซักผ้าอัตโนมัติ
18483,wavs_rir_added/common_voice_th_26915621_room_dis1.wav,ขั้นบอสง่าย
41744,wavs_rir_added/record_smarthome_7000035_2018_room_dis1.wav,เปิดเพลงจากวิทยุ
43504,wavs_rir_added/record_smarthome_7000041_843_room_dis1.wav,ปิดไฟห้องน้ำในสามสิบนาที
30830,wavs_rir_added/common_voice_th_27671014_room_dis1.wav,ไม่ดีเสมอไปเมื่อชื่อที่ส่วนใหญ่รู้จักทำให้เกิดปัญหาใหม่
28526,wavs_rir_added/common_voice_th_27512366_room_dis1.wav,ไม่น่าไปสายเลย
12015,wavs_rir_added/common_voice_th_27422768_room_dis1.wav,ไปปิดงาน
9230,wavs_rir_added/common_voice_th_28232359_room_dis1.wav,ห่างกัน
43192,wavs_rir_added/record_smarthome_7000037_1065_room_dis1.wav,อากาศร้อนนะเปิดแอร์อุณหภูมิยี่สิบสององศาเซลเซียส
43904,wavs_rir_added/record_smarthome_7000027_1011_room_dis1.wav,ล็อคประตูห้องนั่งเล่น
12091,wavs_rir_added/common_voice_th_27422936_room_dis1.wav,เสริมโชคเรียกทรัพย์ประดับบ้านสวย
47474,wavs_rir_added/record_smarthome_7000042_2131_room_dis1.wav,เปิดแอร์ห้องนั่งเล่นที่อุณหภูมิยี่สิบสี่องศาเซลเซียส
22267,wavs_rir_added/common_voice_th_30434389_room_dis1.wav,รายละเอียดสามารถดูได้จากคลิปอภิปรายของอาจารย์สุรเชษฐ์ ประวีณวงศ์วุฒิ
34162,wavs_rir_added/record_smarthome_7000029_170_room_dis1.wav,ตั้งเวลาหม้อหุงข้าวสามสิบนาที
10214,wavs_rir_added/common_voice_th_26625306_room_dis1.wav,ควรมีปุ่ม แบบเทเลแกรม
44945,wavs_rir_added/record_smarthome_7000036_365_room_dis1.wav,ปิดก๊อกน้ำในห้องน้ำอีกสิบนาที
41573,wavs_rir_added/record_healthcare_7000017_398_room_dis1.wav,ปวดตามหลังเวลานั่งนาน
22722,wavs_rir_added/common_voice_th_26057367_room_dis1.wav,อเดลล์กลับไปที่ซีเรีย
